segment_number|len_reduction|par|stim_name|fold|epoch|train_loss|valid_loss|train_acc|valid_acc|epoch_times|test_loss|test_acc
5|None|s01|VALENCE|0|0|0.6944440404574076|0.6918852925300598|0.5416666666666666|0.46875|(0, 0)||
5|None|s01|VALENCE|0|1|0.6997958024342855|0.6939914524555206|0.4166666666666667|0.5|(0, 0)||
5|None|s01|VALENCE|0|2|0.6892831524213155|0.7013953626155853|0.5|0.3125|(0, 0)||
5|None|s01|VALENCE|0|3|0.6879874269167582|0.6898506581783295|0.5|0.59375|(0, 0)||
5|None|s01|VALENCE|0|4|0.6805317600568136|0.6927030384540558|0.625|0.5|(0, 0)||
5|None|s01|VALENCE|0|5|0.6823410590489706|0.6921427845954895|0.625|0.5|(0, 0)||
5|None|s01|VALENCE|0|6|0.6824635664621989|0.6910197138786316|0.5|0.5|(0, 0)||
5|None|s01|VALENCE|0|7|0.6798765659332275|0.6976875066757202|0.5208333333333334|0.40625|(0, 0)||
5|None|s01|VALENCE|0|8|0.6780630151430765|0.6990366876125336|0.5208333333333334|0.40625|(0, 0)||
5|None|s01|VALENCE|0|9|0.6746277411778768|0.6828877925872803|0.5833333333333334|0.59375|(0, 0)||
5|None|s01|VALENCE|0|10|0.6648715535799662|0.6857251524925232|0.6875|0.59375|(0, 0)||
5|None|s01|VALENCE|0|11|0.6616995731989542|0.6842324137687683|0.75|0.59375|(0, 0)||
5|None|s01|VALENCE|0|12|0.6641611854235331|0.6813766062259674|0.7291666666666666|0.59375|(0, 0)|0.6878249645233154|0.5
5|None|s01|VALENCE|1|0|0.6937867999076843|0.6934850513935089|0.5|0.5|(0, 0)||
5|None|s01|VALENCE|1|1|0.6867876450220743|0.6963100433349609|0.6458333333333334|0.40625|(0, 0)||
5|None|s01|VALENCE|1|2|0.689261277516683|0.6865227222442627|0.6041666666666666|0.6875|(0, 0)||
5|None|s01|VALENCE|1|3|0.6849831342697144|0.69412761926651|0.6875|0.5|(0, 0)||
5|None|s01|VALENCE|1|4|0.6811627149581909|0.6862493455410004|0.7291666666666666|0.59375|(0, 0)||
5|None|s01|VALENCE|1|5|0.6817173361778259|0.6939781606197357|0.6458333333333334|0.5|(0, 0)||
5|None|s01|VALENCE|1|6|0.6746078729629517|0.6841876804828644|0.625|0.59375|(0, 0)|0.6955700516700745|0.5
5|None|s01|VALENCE|2|0|0.6952467759450277|0.6942230463027954|0.4791666666666667|0.5|(0, 0)||
5|None|s01|VALENCE|2|1|0.6767114003499349|0.6937989592552185|0.625|0.5|(0, 0)||
5|None|s01|VALENCE|2|2|0.6816430489222208|0.6923412084579468|0.5833333333333334|0.5|(0, 0)||
5|None|s01|VALENCE|2|3|0.6605919202168783|0.6747231781482697|0.6458333333333334|0.6875|(0, 0)|0.7022363245487213|0.40625
5|None|s01|VALENCE|3|0|0.6945182085037231|0.6920133829116821|0.5208333333333334|0.5|(0, 0)||
5|None|s01|VALENCE|3|1|0.6921800971031189|0.6913304924964905|0.5|0.625|(0, 0)|0.6934293210506439|0.4375
5|None|s01|VALENCE|4|0|0.7049636443456014|0.6916548013687134|0.4583333333333333|0.5|(0, 0)|0.6940268278121948|0.5
5|None|s01|VALENCE|5|0|0.7004384597142538|0.6934389472007751|0.3333333333333333|0.5|(0, 0)||
5|None|s01|VALENCE|5|1|0.6905970573425293|0.6927741765975952|0.5833333333333334|0.5|(0, 0)||
5|None|s01|VALENCE|5|2|0.6709903478622437|0.7024544179439545|0.6458333333333334|0.40625|(0, 0)||
5|None|s01|VALENCE|5|3|0.676002581914266|0.6947440505027771|0.6041666666666666|0.5|(0, 0)||
5|None|s01|VALENCE|5|4|0.6608433326085409|0.6692757606506348|0.625|0.6875|(0, 0)||
5|None|s01|VALENCE|5|5|0.6537315050760905|0.677748829126358|0.625|0.59375|(0, 0)||
5|None|s01|VALENCE|5|6|0.6437310576438904|0.6933945417404175|0.6458333333333334|0.5|(0, 0)||
5|None|s01|VALENCE|5|7|0.6603410840034485|0.6971147358417511|0.6041666666666666|0.5|(0, 0)||
5|None|s01|VALENCE|5|8|0.6198226809501648|0.6771633625030518|0.6666666666666666|0.59375|(0, 0)||
5|None|s01|VALENCE|5|9|0.6392852465311686|0.712898850440979|0.625|0.40625|(0, 0)||
5|None|s01|VALENCE|5|10|0.6347998976707458|0.6573463082313538|0.625|0.6875|(0, 0)|0.6832596957683563|0.59375
5|None|s01|VALENCE|6|0|0.6938937306404114|0.6968859136104584|0.5416666666666666|0.5|(0, 0)||
5|None|s01|VALENCE|6|1|0.6774498820304871|0.6705052256584167|0.625|0.6875|(0, 0)|0.6984711289405823|0.5
5|None|s01|VALENCE|7|0|0.6905190547307333|0.6824319660663605|0.5208333333333334|0.65625|(0, 0)||
5|None|s01|VALENCE|7|1|0.6803243358929952|0.683946281671524|0.625|0.5625|(0, 0)||
5|None|s01|VALENCE|7|2|0.6589218974113464|0.6688268184661865|0.6458333333333334|0.65625|(0, 0)||
5|None|s01|VALENCE|7|3|0.6476496458053589|0.6463636159896851|0.6458333333333334|0.75|(0, 0)||
5|None|s01|VALENCE|7|4|0.640017549196879|0.6399875581264496|0.6666666666666666|0.75|(0, 0)||
5|None|s01|VALENCE|7|5|0.6440699895222982|0.6588746011257172|0.6458333333333334|0.65625|(0, 0)||
5|None|s01|VALENCE|7|6|0.6664080023765564|0.5964652001857758|0.6041666666666666|0.84375|(0, 0)|0.6277298331260681|0.75
5|None|s01|VALENCE|8|0|0.6888758540153503|0.6901352107524872|0.6041666666666666|0.5|(0, 0)||
5|None|s01|VALENCE|8|1|0.6851120193799337|0.6812395453453064|0.5833333333333334|0.59375|(0, 0)||
5|None|s01|VALENCE|8|2|0.6532540520032247|0.706249475479126|0.6666666666666666|0.40625|(0, 0)||
5|None|s01|VALENCE|8|3|0.6502489844957987|0.6949323415756226|0.6458333333333334|0.5|(0, 0)||
5|None|s01|VALENCE|8|4|0.6627331177393595|0.6795239150524139|0.6041666666666666|0.59375|(0, 0)||
5|None|s01|VALENCE|8|5|0.6345962683359782|0.6745982468128204|0.6666666666666666|0.59375|(0, 0)|0.7106603384017944|0.40625
5|None|s01|VALENCE|9|0|0.6894675890604655|0.7025098502635956|0.6041666666666666|0.5|(0, 0)||
5|None|s01|VALENCE|9|1|0.6822800040245056|0.6844789385795593|0.5833333333333334|0.59375|(0, 0)||
5|None|s01|VALENCE|9|2|0.6844632824261984|0.6889387667179108|0.5625|0.59375|(0, 0)||
5|None|s01|VALENCE|9|3|0.6535201072692871|0.68392214179039|0.625|0.59375|(0, 0)|0.6869361698627472|0.59375
5|None|s02|VALENCE|0|0|0.688370943069458|0.6954530477523804|0.6041666666666666|0.40625|(0, 0)||
5|None|s02|VALENCE|0|1|0.6615753571192423|0.6937843859195709|0.75|0.5|(0, 0)||
5|None|s02|VALENCE|0|2|0.6318228244781494|0.6900969743728638|0.7708333333333334|0.59375|(0, 0)||
5|None|s02|VALENCE|0|3|0.5960161089897156|0.6942299008369446|0.7916666666666666|0.5|(0, 0)||
5|None|s02|VALENCE|0|4|0.5830512642860413|0.7011429667472839|0.7708333333333334|0.40625|(0, 0)||
5|None|s02|VALENCE|0|5|0.5607047080993652|0.6942179203033447|0.7708333333333334|0.5|(0, 0)||
5|None|s02|VALENCE|0|6|0.5415896872679392|0.6942568421363831|0.7708333333333334|0.5|(0, 0)||
5|None|s02|VALENCE|0|7|0.5200325647989908|0.6845457255840302|0.7708333333333334|0.59375|(0, 0)||
5|None|s02|VALENCE|0|8|0.5139930446942648|0.7093323171138763|0.75|0.40625|(0, 0)||
5|None|s02|VALENCE|0|9|0.48054154713948566|0.6792389750480652|0.7708333333333334|0.59375|(0, 0)||
5|None|s02|VALENCE|0|10|0.5352279742558798|0.6615547239780426|0.7291666666666666|0.6875|(0, 0)|0.676458865404129|0.59375
5|None|s02|VALENCE|1|0|0.6817447145779928|0.6937690377235413|0.6875|0.5|(0, 0)||
5|None|s02|VALENCE|1|1|0.6682531833648682|0.6945759952068329|0.7291666666666666|0.5|(0, 0)||
5|None|s02|VALENCE|1|2|0.6497904658317566|0.6954497396945953|0.7291666666666666|0.5|(0, 0)||
5|None|s02|VALENCE|1|3|0.6387342611948649|0.6959018111228943|0.7291666666666666|0.5|(0, 0)||
5|None|s02|VALENCE|1|4|0.587112545967102|0.6889536380767822|0.7916666666666666|0.59375|(0, 0)||
5|None|s02|VALENCE|1|5|0.5794512232144674|0.6881398856639862|0.7708333333333334|0.59375|(0, 0)||
5|None|s02|VALENCE|1|6|0.5721182823181152|0.7124824225902557|0.75|0.3125|(0, 0)||
5|None|s02|VALENCE|1|7|0.5297902127106985|0.6875085234642029|0.7708333333333334|0.59375|(0, 0)||
5|None|s02|VALENCE|1|8|0.5396949450174967|0.7077260315418243|0.7291666666666666|0.40625|(0, 0)||
5|None|s02|VALENCE|1|9|0.5030244390169779|0.6834563910961151|0.75|0.59375|(0, 0)||
5|None|s02|VALENCE|1|10|0.4798788328965505|0.6959197521209717|0.75|0.5|(0, 0)||
5|None|s02|VALENCE|1|11|0.43922584255536395|0.6889217495918274|0.7708333333333334|0.59375|(0, 0)||
5|None|s02|VALENCE|1|12|0.5562064349651337|0.6970992684364319|0.6875|0.5|(0, 0)||
5|None|s02|VALENCE|1|13|0.435406893491745|0.6843587756156921|0.75|0.59375|(0, 0)||
5|None|s02|VALENCE|1|14|0.39934682846069336|0.6826939582824707|0.8333333333333334|0.59375|(0, 0)||
5|None|s02|VALENCE|1|15|0.40545388062795|0.6800060570240021|0.8333333333333334|0.59375|(0, 0)||
5|None|s02|VALENCE|1|16|0.37712210416793823|0.7000328004360199|0.8541666666666666|0.40625|(0, 0)||
5|None|s02|VALENCE|1|17|0.34113380312919617|0.6947095096111298|0.8958333333333334|0.5|(0, 0)||
5|None|s02|VALENCE|1|18|0.44230319062868756|0.6782567799091339|0.8333333333333334|0.59375|(0, 0)|0.6813786923885345|0.59375
5|None|s02|VALENCE|2|0|0.6877558827400208|0.6953539848327637|0.625|0.3125|(0, 0)||
5|None|s02|VALENCE|2|1|0.6684866150220236|0.6913435161113739|0.75|0.5|(0, 0)||
5|None|s02|VALENCE|2|2|0.6535446047782898|0.6909241378307343|0.7291666666666666|0.5|(0, 0)||
