,subject_setup,experimental_setup,preprocess,segment_lenght,stimuli,cv,std
0,dependent,segment,PCC_TIME,20,arousal,0.68125,0.1066
0,dependent,segment,PCC_TIME,60,arousal,0.62813,0.1694
0,dependent,segment,PCC_TIME,1,valence,0.65563,0.03036
0,dependent,segment,PCC_TIME,12,valence,0.67578,0.08725
0,dependent,segment,PCC_TIME,20,valence,0.65078,0.11308
0,dependent,segment,PCC_TIME,60,valence,0.62578,0.19286
0,dependent,trial,PCC_TIME,1,arousal,0.63832,0.10096
0,dependent,trial,PCC_TIME,12,arousal,0.63365,0.11534
0,dependent,trial,PCC_TIME,20,arousal,0.64198,0.12156
0,dependent,trial,PCC_TIME,60,arousal,0.63833,0.17567
0,dependent,trial,PCC_TIME,1,valence,0.6018,0.08611
0,dependent,trial,PCC_TIME,12,valence,0.62234,0.11345
0,dependent,trial,PCC_TIME,20,valence,0.61849,0.13351
0,dependent,trial,PCC_TIME,60,valence,0.63281,0.18047
0,independent,segment,PCC_TIME,1,arousal,0.57522,0.00134
0,independent,segment,PCC_TIME,12,arousal,0.46828,0.1441
0,independent,segment,PCC_TIME,20,arousal,0.3888,0.10745
0,independent,segment,PCC_TIME,60,arousal,0.35781,0.14694
0,independent,segment,PCC_TIME,1,valence,0.51943,0.04135
0,independent,segment,PCC_TIME,12,valence,0.54594,0.01217
0,independent,segment,PCC_TIME,20,valence,0.4724,0.07425
0,independent,segment,PCC_TIME,60,valence,0.42734,0.11418
0,independent,trial,PCC_TIME,1,arousal,0.5774,0.00725
0,independent,trial,PCC_TIME,12,arousal,0.59234,0.01084
0,independent,trial,PCC_TIME,20,arousal,0.62318,0.02607
0,independent,trial,PCC_TIME,60,arousal,0.63906,0.02031
0,independent,trial,PCC_TIME,1,valence,0.5499,0.00584
0,independent,trial,PCC_TIME,12,valence,0.57109,0.01278
0,independent,trial,PCC_TIME,20,valence,0.59219,0.02737
0,independent,trial,PCC_TIME,60,valence,0.64766,0.02739
0,dependent,segment,RASM,1,arousal,0.65271,0.01367
0,dependent,segment,RASM,12,arousal,0.67062,0.06651
0,dependent,segment,RASM,20,arousal,0.67474,0.0987
0,dependent,segment,RASM,60,arousal,0.61641,0.16513
0,dependent,segment,RASM,1,valence,0.61622,0.02294
0,dependent,segment,RASM,12,valence,0.65203,0.08773
0,dependent,segment,RASM,20,valence,0.65599,0.11458
0,dependent,segment,RASM,60,valence,0.60938,0.19065
0,dependent,trial,RASM,1,arousal,0.62347,0.09727
0,dependent,trial,RASM,12,arousal,0.63635,0.11536
0,dependent,trial,RASM,20,arousal,0.63625,0.1232
0,dependent,trial,RASM,60,arousal,0.6313,0.17361
0,dependent,trial,RASM,1,valence,0.58896,0.08732
0,dependent,trial,RASM,12,valence,0.61625,0.11875
0,dependent,trial,RASM,20,valence,0.63073,0.1327
0,dependent,trial,RASM,60,valence,0.60938,0.1865
0,independent,segment,RASM,1,arousal,0.57579,0.00011
0,independent,segment,RASM,12,arousal,0.50922,0.10222
0,independent,segment,RASM,20,arousal,0.4263,0.11644
0,independent,segment,RASM,60,arousal,0.41484,0.15681
0,independent,segment,RASM,1,valence,0.55302,0.00019
0,independent,segment,RASM,12,valence,0.50328,0.05836
0,independent,segment,RASM,20,valence,0.49219,0.04252
0,independent,segment,RASM,60,valence,0.50781,0.06132
0,independent,trial,RASM,1,arousal,0.5757,0.00356
0,independent,trial,RASM,12,arousal,0.57375,0.00732
0,independent,trial,RASM,20,arousal,0.59141,0.01461
0,independent,trial,RASM,60,arousal,0.61875,0.02769
0,independent,trial,RASM,1,valence,0.55299,0.00311
0,independent,trial,RASM,12,valence,0.55406,0.00556
0,independent,trial,RASM,20,valence,0.55078,0.01861
0,independent,trial,RASM,60,valence,0.56094,0.03711
