len_reduction|par|stim_name|fold|epoch|train_loss|valid_loss|train_acc|valid_acc|epoch_time
none|s01|VALENCE|0|0|0.6397734658908|0.6971246647207361|0.6675884955752213|0.41776315789473684|(0, 1)
none|s01|VALENCE|0|1|0.6127487299716579|0.6915195929376703|0.672566371681416|0.6019736842105263|(0, 1)
none|s01|VALENCE|0|2|0.594848231667966|0.6885749729056108|0.6786504424778761|0.5970394736842105|(0, 1)
none|s01|VALENCE|0|3|0.5357726559174799|0.6991623310666335|0.7323008849557522|0.5986842105263158|(0, 1)
none|s01|VALENCE|0|4|0.45046802788181645|0.7567886929762991|0.7959070796460177|0.5986842105263158|(0, 1)
none|s01|VALENCE|0|5|0.3716231326086331|0.9038134248633134|0.838495575221239|0.600328947368421|(0, 1)
none|s01|VALENCE|0|6|0.319801592853217|0.8478110173815175|0.8694690265486725|0.6036184210526315|(0, 1)
none|s01|VALENCE|0|7|0.2526732034717513|0.9726114429925617|0.9026548672566371|0.6019736842105263|(0, 1)
none|s01|VALENCE|0|8|0.2018764733246206|1.1904095944605375|0.9198008849557522|0.5970394736842105|(0, 1)
none|s01|VALENCE|0|9|0.14110649244414758|1.084288964146062|0.9452433628318584|0.5970394736842105|(0, 1)
none|s01|VALENCE|0|10|0.13732130593925188|1.2584205646263926|0.9430309734513275|0.5986842105263158|(0, 1)
none|s01|VALENCE|0|11|0.12408040613925035|1.386513418272922|0.9513274336283186|0.5986842105263158|(0, 1)
none|s01|VALENCE|0|12|0.0798464865460827|1.903944362935267|0.9762168141592921|0.6019736842105263|(0, 1)
none|s01|VALENCE|0|13|0.06121754107700117|1.8180136884513654|0.9767699115044248|0.5986842105263158|(0, 1)
none|s01|VALENCE|0|14|0.07440213354889601|1.6765709440959127|0.9734513274336283|0.6019736842105263|(0, 1)
none|s01|VALENCE|0|15|0.08006472974104922|2.008040426593078|0.9717920353982301|0.6036184210526315|(0, 1)
