len_reduction|par|stim_name|fold|epoch|train_loss|valid_loss|train_acc|valid_acc|epoch_time
none|s01|AROUSAL|0|0|0.6485754214556871|0.7865192592144012|0.6664823008849557|0.4029605263157895|(0, 2)
none|s01|AROUSAL|0|1|0.6407409220670177|0.8119146227836609|0.6675884955752213|0.3980263157894737|(0, 2)
none|s01|AROUSAL|0|2|0.6373753231183618|0.8023551529959628|0.6664823008849557|0.3980263157894737|(0, 2)
none|s01|AROUSAL|0|3|0.6154112596954919|0.9166486969119624|0.6664823008849557|0.3996710526315789|(0, 2)
none|s01|AROUSAL|0|4|0.5330174859382409|0.8171668899686713|0.7217920353982301|0.5115131578947368|(0, 2)
none|s01|AROUSAL|0|5|0.4709981468926489|0.9923819366254305|0.7676991150442478|0.4967105263157895|(0, 2)
none|s01|AROUSAL|0|6|0.4195197295826093|0.9847774168378428|0.8097345132743363|0.5444078947368421|(0, 2)
none|s01|AROUSAL|0|7|0.3566105341687139|1.0471425378008892|0.8440265486725663|0.5641447368421053|(0, 2)
none|s01|AROUSAL|0|8|0.3254059228749402|1.2212300394710742|0.8584070796460177|0.5476973684210527|(0, 2)
none|s01|AROUSAL|0|9|0.32929682995365783|0.975018466773786|0.8628318584070797|0.5575657894736842|(0, 2)
none|s01|AROUSAL|0|10|0.2762370989781565|1.159502616838405|0.8799778761061947|0.5805921052631579|(0, 2)
none|s01|AROUSAL|0|11|0.28937689781980175|0.9143218758859133|0.8716814159292036|0.5805921052631579|(0, 2)
none|s01|AROUSAL|0|12|0.26248649392375906|1.3648975726805235|0.889933628318584|0.5789473684210527|(0, 2)
none|s01|AROUSAL|0|13|0.2701061331395027|0.9523601555510571|0.8744469026548672|0.6019736842105263|(0, 2)
none|s01|AROUSAL|0|14|0.20971862212713577|1.2126908843454562|0.9137168141592921|0.5855263157894737|(0, 2)
none|s01|AROUSAL|0|15|0.2193853436285152|1.2664595771777003|0.9153761061946902|0.587171052631579|(0, 2)
none|s01|AROUSAL|0|16|0.2126766568857484|1.165667544070043|0.9126106194690266|0.5773026315789473|(0, 2)
none|s01|AROUSAL|0|17|0.15118456319534937|1.772336787299106|0.9386061946902655|0.5641447368421053|(0, 2)
none|s01|AROUSAL|0|18|0.16887845677546168|1.5607116065527264|0.9352876106194691|0.5838815789473685|(0, 2)
none|s01|AROUSAL|0|19|0.1858814623272788|1.3258145153522491|0.9303097345132744|0.5921052631578947|(0, 2)
none|s01|AROUSAL|0|20|0.14758776105215063|1.6917483257619959|0.9452433628318584|0.587171052631579|(0, 2)
none|s01|AROUSAL|0|21|0.11923413274529497|1.6100059245762073|0.9540929203539823|0.5986842105263158|(0, 2)
none|s01|AROUSAL|0|22|0.1197862294955855|1.827689191228465|0.9507743362831859|0.5888157894736842|(0, 2)
none|s01|AROUSAL|0|23|0.1545648880352357|1.5367779433727264|0.9441371681415929|0.5707236842105263|(0, 2)
none|s01|AROUSAL|0|24|0.12907466840872592|1.4491491811840158|0.9513274336283186|0.5904605263157895|(0, 2)
none|s01|AROUSAL|0|25|0.1378247038898083|1.7445860552160364|0.9491150442477876|0.5592105263157895|(0, 2)
none|s01|AROUSAL|0|26|0.11031162074923648|1.8626632345350165|0.9563053097345132|0.5657894736842105|(0, 2)
none|s01|AROUSAL|0|27|0.09275763355343875|1.8946925966363204|0.9679203539823009|0.5756578947368421|(0, 2)
none|s01|AROUSAL|0|28|0.07416151755744904|1.9452162604582937|0.9762168141592921|0.5970394736842105|(0, 2)
none|s01|AROUSAL|0|29|0.08164586135561257|1.9206180776420392|0.9695796460176991|0.5805921052631579|(0, 2)
none|s01|AROUSAL|0|30|0.12954861861942088|1.3819315355075033|0.9551991150442478|0.5970394736842105|(0, 2)
none|s01|AROUSAL|0|31|0.07420556330064361|1.778298221920666|0.9728982300884956|0.6085526315789473|(0, 2)
none|s01|AROUSAL|0|32|0.08937565483713308|1.8517666631623317|0.9629424778761062|0.6101973684210527|(0, 2)
