segment_number|len_reduction|par|stim_name|outer_fold|inner_fold|epoch|train_loss|valid_loss|train_acc|valid_acc|epoch_times|test_loss|test_acc
3|mean|all|VALENCE|0|0|0|0.6939489042217081|0.6935548335313797|0.513636364178224|0.46875|(0, 18)||
3|mean|all|VALENCE|0|0|1|0.6911219453269785|0.6924507071574529|0.5161931819536469|0.5416666666666666|(0, 12)|0.6924507021903992|0.5416666666666666
3|mean|all|VALENCE|1|0|0|0.6967764063314958|0.6910759136080742|0.4821022728627378|0.546875|(0, 14)||
3|mean|all|VALENCE|1|0|1|0.6909918527711522|0.6920645261804262|0.5437500002709302|0.5338541666666666|(0, 15)||
3|mean|all|VALENCE|1|0|2|0.688120343468406|0.6889349321524302|0.5636363639072939|0.5625|(0, 16)|0.6889349247018496|0.5625
3|mean|all|VALENCE|2|0|0|0.6939116364175623|0.7000296339392662|0.48806818236004224|0.4427083333333333|(0, 14)||
3|mean|all|VALENCE|2|0|1|0.6878615658391606|0.6906658659378687|0.5122159096327695|0.5338541666666666|(0, 16)|0.6906658684213957|0.5338541666666666
3|mean|all|VALENCE|3|0|0|0.6954973218115893|0.689918264746666|0.5065340914509513|0.5546875|(0, 12)||
3|mean|all|VALENCE|3|0|1|0.6901877237991854|0.689580204586188|0.5588068183172833|0.5494791666666666|(0, 14)|0.6895802021026611|0.5494791666666666
3|mean|all|VALENCE|4|0|0|0.6950542859055779|0.6927907665570577|0.4821022728627378|0.546875|(0, 16)||
3|mean|all|VALENCE|4|0|1|0.6914875426075675|0.6897322957714399|0.5329545455222781|0.5598958333333334|(0, 14)|0.6897322883208593|0.5598958333333334
3|mean|all|VALENCE|5|0|0|0.6921460858800195|0.6874247243007024|0.5122159096327695|0.5546875|(0, 13)||
3|mean|all|VALENCE|5|0|1|0.6901675462722778|0.6862495566407839|0.5471590909768235|0.5546875|(0, 20)|0.6862495566407839|0.5546875
3|mean|all|VALENCE|6|0|0|0.6945826424793764|0.6911322077115377|0.4553977278145877|0.5651041666666666|(0, 14)||
3|mean|all|VALENCE|6|0|1|0.6902145865288648|0.6940752789378166|0.5193181823600422|0.5078125|(0, 13)||
3|mean|all|VALENCE|6|0|2|0.6814060753042047|0.7140427033106486|0.5690340914509513|0.4973958333333333|(0, 14)||
3|mean|all|VALENCE|6|0|3|0.6717948791655627|0.7003473117947578|0.5565340911800211|0.5182291666666666|(0, 15)||
3|mean|all|VALENCE|6|0|4|0.670610786838965|0.685994287331899|0.5803977278145876|0.5651041666666666|(0, 13)|0.6859942773977915|0.5651041666666666
3|mean|all|VALENCE|7|0|0|0.6921619041399523|0.6907093326250712|0.5517045455900106|0.546875|(0, 17)||
3|mean|all|VALENCE|7|0|1|0.6898690705949609|0.6927690654993057|0.5701704546809196|0.5546875|(0, 14)||
3|mean|all|VALENCE|7|0|2|0.6856415434317156|0.6864163999756178|0.5585227273404598|0.5494791666666666|(0, 12)|0.6864163900415102|0.5494791666666666
3|mean|all|VALENCE|8|0|0|0.6946501582860947|0.6918593595425288|0.5005681819536469|0.515625|(0, 20)||
3|mean|all|VALENCE|8|0|1|0.6904148676178672|0.6883037214477857|0.550284091044556|0.5651041666666666|(0, 13)||
3|mean|all|VALENCE|8|0|2|0.6847941441969438|0.6874867777029673|0.560511364178224|0.5598958333333334|(0, 13)||
3|mean|all|VALENCE|8|0|3|0.6753501296043396|0.6939655890067419|0.591761364178224|0.5677083333333334|(0, 20)||
3|mean|all|VALENCE|8|0|4|0.6740469228137623|0.6908732106288274|0.5710227272727273|0.5677083333333334|(0, 13)||
3|mean|all|VALENCE|8|0|5|0.6641350009224631|0.6887873585025469|0.6019886366345666|0.5546875|(0, 14)||
3|mean|all|VALENCE|8|0|6|0.6647626026110216|0.6930176640550295|0.6017045459964059|0.5729166666666666|(0, 17)||
3|mean|all|VALENCE|8|0|7|0.6564239249988035|0.6874424790342649|0.6204545457254756|0.5807291666666666|(0, 13)||
3|mean|all|VALENCE|8|0|8|0.652574976736849|0.6974736427267393|0.6198863637718287|0.5963541666666666|(0, 13)||
3|mean|all|VALENCE|8|0|9|0.659748375415802|0.7022615820169449|0.6096590909768235|0.5625|(0, 16)||
3|mean|all|VALENCE|8|0|10|0.6500798057426106|0.6903737336397171|0.6357954550873149|0.5703125|(0, 17)||
3|mean|all|VALENCE|8|0|11|0.639153425666419|0.6875343720118204|0.6389204548163847|0.578125|(0, 13)||
3|mean|all|VALENCE|8|0|12|0.6466166268695485|0.6860465382536253|0.6392045454545454|0.5755208333333334|(0, 13)||
3|mean|all|VALENCE|8|0|13|0.636771482500163|0.6970007990797361|0.6241477274081924|0.5807291666666666|(0, 17)||
3|mean|all|VALENCE|8|0|14|0.6270010884512555|0.6839480785032114|0.6357954550873149|0.59375|(0, 13)|0.6839480797449747|0.59375
3|mean|all|VALENCE|9|0|0|0.6911555366082625|0.6887426053484281|0.5508522729982029|0.5572916666666666|(0, 15)||
3|mean|all|VALENCE|9|0|1|0.6876729889349504|0.6862373352050781|0.5545454546809196|0.5625|(0, 17)|0.6862373401721319|0.5625
3|mean|all|AROUSAL|0|0|0|0.6904802647503939|0.6864362731575966|0.5548295459964059|0.578125|(0, 14)||
3|mean|all|AROUSAL|0|0|1|0.6836596469987523|0.6855812321106592|0.5579545457254756|0.5729166666666666|(0, 13)||
3|mean|all|AROUSAL|0|0|2|0.6784450655633752|0.6850550274054209|0.5690340914509513|0.5651041666666666|(0, 19)|0.6850550274054209|0.5651041666666666
3|mean|all|AROUSAL|1|0|0|0.6821103475310586|0.6829451595743498|0.5889204550873149|0.578125|(0, 14)||
3|mean|all|AROUSAL|1|0|1|0.6768277775157582|0.6804793402552605|0.5857954546809196|0.578125|(0, 15)||
3|mean|all|AROUSAL|1|0|2|0.6754399646412242|0.6784205089012781|0.5857954546809196|0.578125|(0, 22)||
3|mean|all|AROUSAL|1|0|3|0.663935508240353|0.6739944840470949|0.5948863639072939|0.578125|(0, 13)|0.6739944840470949|0.578125
3|mean|all|AROUSAL|2|0|0|0.6876925419677388|0.6884545435508093|0.5474431819536469|0.578125|(0, 15)||
3|mean|all|AROUSAL|2|0|1|0.680447669191794|0.6868937710920969|0.5664772729982029|0.578125|(0, 19)||
3|mean|all|AROUSAL|2|0|2|0.6759610027074814|0.6858675703406334|0.5690340914509513|0.5885416666666666|(0, 13)||
3|mean|all|AROUSAL|2|0|3|0.6744092973795804|0.6877224793036779|0.5741477273404598|0.578125|(0, 14)||
3|mean|all|AROUSAL|2|0|4|0.6699421568350359|0.6797943338751793|0.5886363637718287|0.6015625|(0, 16)|0.6797943338751793|0.6015625
3|mean|all|AROUSAL|3|0|0|0.6858852072195574|0.6865634893377622|0.581534091044556|0.5703125|(0, 14)||
3|mean|all|AROUSAL|3|0|1|0.6793518540534106|0.6847398752967516|0.5803977278145876|0.5703125|(0, 15)||
3|mean|all|AROUSAL|3|0|2|0.6719212938438762|0.6811218385895094|0.5838068181818182|0.5833333333333334|(0, 18)|0.681121843556563|0.5833333333333334
3|mean|all|AROUSAL|4|0|0|0.6844446767460216|0.6879455869396528|0.5826704546131871|0.5703125|(0, 14)||
3|mean|all|AROUSAL|4|0|1|0.6780346659096804|0.6811918194095293|0.5869318182495508|0.5703125|(0, 18)||
3|mean|all|AROUSAL|4|0|2|0.667064754800363|0.6791923195123672|0.5963068184527484|0.5703125|(0, 15)||
3|mean|all|AROUSAL|4|0|3|0.6589596122503281|0.6790179138382276|0.5974431823600422|0.5703125|(0, 13)|0.6790179163217545|0.5703125
3|mean|all|AROUSAL|5|0|0|0.6749495010484349|0.6802462711930275|0.6090909093618393|0.5703125|(0, 16)||
3|mean|all|AROUSAL|5|0|1|0.6649203354662115|0.6856449991464615|0.6090909093618393|0.5703125|(0, 14)||
3|mean|all|AROUSAL|5|0|2|0.6658862978219986|0.6766995489597321|0.6045454550873149|0.5703125|(0, 15)|0.6766995340585709|0.5703125
3|mean|all|AROUSAL|6|0|0|0.6709142395041205|0.6748977998892466|0.607386364178224|0.578125|(0, 13)||
3|mean|all|AROUSAL|6|0|1|0.6665880449793555|0.6743701994419098|0.6133522729982029|0.578125|(0, 16)||
3|mean|all|AROUSAL|6|0|2|0.6622297181324526|0.6851117288072904|0.6119318184527484|0.578125|(0, 16)||
3|mean|all|AROUSAL|6|0|3|0.6531167992136695|0.6664755543073019|0.6215909096327695|0.5885416666666666|(0, 14)|0.6664755543073019|0.5885416666666666
3|mean|all|AROUSAL|7|0|0|0.6776888478885997|0.6749953379233679|0.5948863639072939|0.578125|(0, 16)||
3|mean|all|AROUSAL|7|0|1|0.6715739098462191|0.6731768970688184|0.6017045459964059|0.578125|(0, 14)||
3|mean|all|AROUSAL|7|0|2|0.6646266146139665|0.6691028798619906|0.6048295457254756|0.578125|(0, 14)||
3|mean|all|AROUSAL|7|0|3|0.6588909815658223|0.6591550260782242|0.607386364178224|0.5989583333333334|(0, 14)||
3|mean|all|AROUSAL|7|0|4|0.6578839109702543|0.6552828972538313|0.5988636369054968|0.5989583333333334|(0, 14)||
3|mean|all|AROUSAL|7|0|5|0.6428530514240265|0.652187142521143|0.6173295459964059|0.6015625|(0, 16)||
3|mean|all|AROUSAL|7|0|6|0.6325005143880844|0.6480942542354265|0.6332386366345666|0.6067708333333334|(0, 16)||
3|mean|all|AROUSAL|7|0|7|0.6310953260822729|0.6378587583700815|0.6303977275436575|0.59375|(0, 14)||
3|mean|all|AROUSAL|7|0|8|0.6147623305970972|0.6356179018815359|0.6531250002709302|0.6223958333333334|(0, 14)||
3|mean|all|AROUSAL|7|0|9|0.6047277010299943|0.6393772102892399|0.6556818187236786|0.6197916666666666|(0, 18)||
3|mean|all|AROUSAL|7|0|10|0.6015756089578975|0.6259150703748068|0.6772727275436575|0.6588541666666666|(0, 14)||
3|mean|all|AROUSAL|7|0|11|0.59981650181792|0.6296542013684908|0.6639204546809196|0.6614583333333334|(0, 13)||
3|mean|all|AROUSAL|7|0|12|0.5904353172941641|0.6304198304812113|0.6857954548163847|0.6171875|(0, 17)||
3|mean|all|AROUSAL|7|0|13|0.5917691947384314|0.626731468985478|0.6727272732691332|0.6614583333333334|(0, 14)||
3|mean|all|AROUSAL|7|0|14|0.5830028775063428|0.6248735090096792|0.6914772729982029|0.6640625|(0, 13)||
3|mean|all|AROUSAL|7|0|15|0.5682396495884116|0.6220503101746241|0.6957386366345666|0.6666666666666666|(0, 16)|0.6220503014822801|0.6666666666666666
3|mean|all|AROUSAL|8|0|0|0.6799177933822979|0.6804788907368978|0.5943181819536469|0.578125|(0, 13)||
3|mean|all|AROUSAL|8|0|1|0.6701593724164095|0.679347443083922|0.6036931818181818|0.578125|(0, 15)||
3|mean|all|AROUSAL|8|0|2|0.6637944294647737|0.6834529216090838|0.600568182089112|0.578125|(0, 17)||
3|mean|all|AROUSAL|8|0|3|0.6620248095555739|0.6729525700211525|0.6014204546809196|0.5885416666666666|(0, 13)||
3|mean|all|AROUSAL|8|0|4|0.6529021730477159|0.6743340268731117|0.6156250001354651|0.5911458333333334|(0, 14)||
3|mean|all|AROUSAL|8|0|5|0.6431138068437576|0.6607755683362484|0.6272727278145876|0.5859375|(0, 19)|0.6607755720615387|0.5859375
3|mean|all|AROUSAL|9|0|0|0.6820055029608987|0.6874967738986015|0.5803977278145876|0.578125|(0, 14)||
3|mean|all|AROUSAL|9|0|1|0.6789619556882165|0.6880377953251203|0.5772727274081924|0.578125|(0, 17)||
3|mean|all|AROUSAL|9|0|2|0.6749908314509825|0.6798217371106148|0.5803977278145876|0.578125|(0, 13)||
3|mean|all|AROUSAL|9|0|3|0.6683158075267618|0.6694179202119509|0.5772727274081924|0.5859375|(0, 15)||
3|mean|all|AROUSAL|9|0|4|0.6583831499923359|0.6570546999573708|0.5883522727950052|0.59375|(0, 17)||
3|mean|all|AROUSAL|9|0|5|0.6440393423492258|0.6573924596110979|0.6159090914509513|0.6015625|(0, 15)||
3|mean|all|AROUSAL|9|0|6|0.6318627961657264|0.6558958192666372|0.6389204548163847|0.6171875|(0, 15)|0.6558958254754543|0.6171875
