segment_number|len_reduction|par|stim_name|outer_fold|inner_fold|epoch|train_loss|valid_loss|train_acc|valid_acc|epoch_times|test_loss|test_acc
3|None|all|VALENCE|0|0|0|0.6956894424828616|0.6914584288994471|0.48806818236004224|0.5546875|(0, 41)|0.6914584338665009|0.5546875
3|None|all|VALENCE|1|0|0|0.6932807862758636|0.6907795369625092|0.522443182089112|0.546875|(0, 9)||
3|None|all|VALENCE|1|0|1|0.6916585767810995|0.6915238226453463|0.538068182089112|0.53125|(0, 14)||
3|None|all|VALENCE|1|0|2|0.6889395077120174|0.6914964020252228|0.5355113636363636|0.5390625|(0, 24)||
3|None|all|VALENCE|1|0|3|0.685893175276843|0.6916446660955747|0.5590909096327695|0.5364583333333334|(0, 29)||
3|None|all|VALENCE|1|0|4|0.6810199821537192|0.6902996251980463|0.591761364178224|0.5651041666666666|(0, 30)||
3|None|all|VALENCE|1|0|5|0.6795384043996985|0.6883098036050797|0.5630681819536469|0.5442708333333334|(0, 31)|0.6883097911874453|0.5442708333333334
3|None|all|VALENCE|2|0|0|0.6921530853618275|0.6960340216755867|0.5062500001354651|0.4505208333333333|(0, 28)||
3|None|all|VALENCE|2|0|1|0.6886082454161211|0.7030811011791229|0.5258522727950052|0.4427083333333333|(0, 14)||
3|None|all|VALENCE|2|0|2|0.6885883930054578|0.6942511200904846|0.5366477275436575|0.5286458333333334|(0, 10)|0.6942511151234309|0.5286458333333334
3|None|all|VALENCE|3|0|0|0.6937237083911896|0.6938410823543867|0.5022727278145876|0.4713541666666667|(0, 28)||
3|None|all|VALENCE|3|0|1|0.6901154910976236|0.6900104557474455|0.519034091044556|0.5520833333333334|(0, 15)|0.6900104408462843|0.5520833333333334
3|None|all|VALENCE|4|0|0|0.6946164559234272|0.6915855929255486|0.5363636369054968|0.5520833333333334|(0, 27)||
3|None|all|VALENCE|4|0|1|0.6916733519597487|0.6919135128458341|0.5244318182495508|0.5442708333333334|(0, 29)||
3|None|all|VALENCE|4|0|2|0.6900215474042025|0.6904074649016062|0.5403409092263742|0.5598958333333334|(0, 29)||
3|None|all|VALENCE|4|0|3|0.6886596896431663|0.6909311960140864|0.534659091044556|0.5416666666666666|(0, 28)||
3|None|all|VALENCE|4|0|4|0.6858809292316437|0.6906444852550825|0.5707386366345666|0.546875|(0, 28)||
3|None|all|VALENCE|4|0|5|0.6749048950997266|0.6888754516839981|0.5755681818859144|0.5520833333333334|(0, 28)|0.6888754591345787|0.5520833333333334
3|None|all|VALENCE|5|0|0|0.6925440769303929|0.6882093672951063|0.5505681823600422|0.5546875|(0, 28)||
3|None|all|VALENCE|5|0|1|0.6901901973919435|0.6877999181548754|0.5474431819536469|0.5546875|(0, 29)||
3|None|all|VALENCE|5|0|2|0.686741678552194|0.6857484057545662|0.560511364178224|0.5651041666666666|(0, 29)|0.6857483958204588|0.5651041666666666
3|None|all|VALENCE|6|0|0|0.6942273703488436|0.6894833346207937|0.49204545468091965|0.5651041666666666|(0, 29)||
3|None|all|VALENCE|6|0|1|0.6872342824935913|0.6996930663784345|0.5519886369054968|0.4557291666666667|(0, 30)||
3|None|all|VALENCE|6|0|2|0.6848277693445032|0.6843105629086494|0.5264204550873149|0.546875|(0, 14)||
3|None|all|VALENCE|6|0|3|0.6763707412914797|0.6865892012914022|0.5940340909768235|0.5833333333333334|(0, 10)||
3|None|all|VALENCE|6|0|4|0.6746420074592937|0.6839064632852873|0.5982954546131871|0.5651041666666666|(0, 12)|0.6839064558347067|0.5651041666666666
3|None|all|VALENCE|7|0|0|0.6946689215573397|0.6904759258031845|0.5088068182495508|0.5546875|(0, 27)||
3|None|all|VALENCE|7|0|1|0.6901716115799817|0.6884239266316096|0.5517045455900106|0.5546875|(0, 25)||
3|None|all|VALENCE|7|0|2|0.6852033856240186|0.6880851859847704|0.5642045455222781|0.5520833333333334|(0, 11)|0.6880851884682974|0.5520833333333334
3|None|all|VALENCE|8|0|0|0.6973800794644789|0.6918576285243034|0.5019886364991014|0.5546875|(0, 28)||
3|None|all|VALENCE|8|0|1|0.6921080242503773|0.6903114045659701|0.5321022732691332|0.5520833333333334|(0, 28)||
3|None|all|VALENCE|8|0|2|0.6905132775956934|0.6886464531222979|0.5349431823600422|0.5677083333333334|(0, 29)||
3|None|all|VALENCE|8|0|3|0.6904026513749902|0.6871124853690466|0.5377840914509513|0.5755208333333334|(0, 11)||
3|None|all|VALENCE|8|0|4|0.676365002989769|0.6974953611691793|0.5835227275436575|0.5859375|(0, 10)||
3|None|all|VALENCE|8|0|5|0.6798464384945956|0.6896735653281212|0.5892045457254756|0.578125|(0, 14)||
3|None|all|VALENCE|8|0|6|0.6677937819199129|0.6934878850976626|0.5875000005418604|0.5572916666666666|(0, 23)||
3|None|all|VALENCE|8|0|7|0.6649893996390429|0.6953732470671335|0.6031250005418604|0.5677083333333334|(0, 27)||
